Claim,Source,Date,Climate Feedback,Climinator
When the exact same group of ‘experts’ who claimed it was global cooling in 1977 now claim it’s global warming you can easily see why I am skeptical.,"Anonymous, Facebook",16-Dec-19,inaccurate,incorrect
A series of just-released studies by working-level scientists prove that geological and not atmospheric forces are responsible for melting of Earth’s polar ice sheets.,"James Edward Kamis, Climate Change Dispatch",22-Nov-19,inaccurate,incorrect
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,"Stacy Liberatore, Chris Ciaccia, Daily Mail, Fox News",01-Nov-19,incorrect,misleading
"That one little burp by Mt. Etna has already put more than 10,000 times the CO2 into the atmosphere than mankind has in our entire time on the Earth.","Anonymous, Facebook post",31-Oct-19,inaccurate,incorrect
500 Scientists Write U.N.: ‘There Is No Climate Emergency’.... More than 500 scientists and professionals in climate and related fields have sent a ‘European Climate Declaration’ to the Secretary-General of the United Nations.,"Thomas D. Williams, Breitbart",30-Oct-19,misleading,unsupported
Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,"Anonymous, Facebook post",28-Oct-19,inaccurate,incorrect
The consensus among scientists and policy-makers is that we’ll pass this point of no return if the global mean temperature rises by more than two degrees Celsius.,"Jonathan Franzen, The New Yorker",17-Sep-19,incorrect,mostly accurate
"Human-produced carbon might be one of the factors of climate change, but there’s simply no evidence that it is a significant one.","Kurt Schlichter, Townhall",11-Sep-19,incorrect,incorrect
"Peer-reviewed studies, geologic records, and all the studies have shown that we have actually cooled since the Roman Warming Period, and likely since the Medieval Warming Period.","Marc Morano, TFP Student Action",09-Sep-19,incorrect,incorrect
The U.S. Climate Reference Network... finds there has been no warming for the past 14 years at least.,"James Taylor, John Hinderaker, WND, Powerlineblog, Real Clear Energy",06-Sep-19,incorrect,incorrect
